id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
69908000,445000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2018,51.2126902,4.4170608,1963.0,125.0,,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,119.0,B,GAS,1,1197.0
72072000,275000.0,HOUSE,MIXED_USE_BUILDING,Flanders,East Flanders,Oudenaarde,9660,50.8126772,3.7576139,1964.0,277.0,440.0,4.0,4.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,517.0,F,FUELOIL,1,666.0
62373000,272000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,50.7284312,4.2258674,,84.0,,,2.0,MISSING,0,0,1,13.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
41407000,240000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,,150.0,,,2.0,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,141.0,B,GAS,1,1518.0
68765000,310000.0,HOUSE,HOUSE,Flanders,East Flanders,Gent,9080,51.1064503,3.8458479,1900.0,166.0,918.0,4.0,3.0,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,0,TO_RENOVATE,679.0,F,ELECTRIC,1,
53701000,325000.0,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9160,51.106364,3.9711588,1974.0,140.0,332.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,304.0,D,MISSING,0,
31828000,263250.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8370,51.3178321,3.1416329,,67.0,,2.0,1.0,INSTALLED,0,0,1,4.0,0,0.0,0,0,MISSING,,MISSING,MISSING,0,
11225000,265000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2520,51.2105272,4.5970517,2000.0,88.0,,2.0,2.0,SEMI_EQUIPPED,0,1,1,,0,0.0,0,0,MISSING,132.0,B,GAS,1,
69214000,449000.0,HOUSE,VILLA,Wallonia,Walloon Brabant,Nivelles,1480,,,1996.0,138.0,1175.0,4.0,3.0,USA_INSTALLED,0,0,1,64.0,1,690.0,0,1,AS_NEW,237.0,C,GAS,1,1232.0
8763000,325000.0,APARTMENT,DUPLEX,Flanders,Limburg,Tongeren,3740,50.8925616,5.4720678,2023.0,109.0,,3.0,3.0,USA_HYPER_EQUIPPED,0,0,1,13.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,
31724000,595000.0,APARTMENT,DUPLEX,Flanders,West Flanders,Brugge,8300,51.3490011,3.2918315,2001.0,76.0,,2.0,2.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,196.0,B,MISSING,0,
18477000,170000.0,APARTMENT,APARTMENT,Wallonia,Liège,Huy,4500,,,,,,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,247.0,C,MISSING,0,
4407000,295050.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1300,50.7240862,4.5994849,,91.0,,,2.0,MISSING,0,0,1,13.0,0,0.0,0,1,MISSING,,A,MISSING,1,
